col1,col2
Season,is_Tmax_Tmin_exEveKLO_Obs
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,1.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
Season,is_Tmax_Tmin_exEveKLO_Obs
1981,0.0
1982,0.0
1983,3.0
1984,1.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,1.0
1995,0.0
1996,0.0
1997,0.0
1998,1.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,5.0
2004,0.0
2005,0.0
2006,3.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,1.0
2014,0.0
2015,5.0
2016,0.0
2017,0.0
2018,5.0
2019,3.0
2020,1.0
Season,is_Tmax_Tmin_exEveKLO_Obs
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,1.0
1992,0.0
1993,0.0
1994,2.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,1.0
2004,0.0
2005,0.0
2006,0.0
2007,1.0
2008,1.0
2009,0.0
2010,1.0
2011,0.0
2012,1.0
2013,1.0
2014,0.0
2015,1.0
2016,0.0
2017,2.0
2018,4.0
2019,1.0
2020,1.0
Season,is_Tmax_Tmin_exEveKLO_Obs
1981,0.0
1982,0.0
1983,2.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,2.0
